budan,hast,بودن,هست
kardan,kon,کردن,کن
dAStan,dAr,داشتن,دار
goftan,gu,گفتن,گو
dAdan,dah,دادن,ده
xAstan,xAh,خواستن,خواه
tavAnestan,tavAn,توانستن,توان
gereftan,gir,گرفتن,گیر
?Amadan,?A,آمدن,آ
raftan,rav,رفتن,رو
dAnestan,dAn,دانستن,دان
?afzudan,?afzA,افزودن,افزا
gaStan,gard,گشتن,گرد
sAxtan,sAz,ساختن,ساز
didan,bin,دیدن,بین
?Avardan,?Avar,آوردن,آور
zadan,zan,زدن,زن
yAftan,yAb,یافتن,یاب
pardAxtan,pardAz,پرداختن,پرداز
gozAStan,gozAr,گذاشتن,گذار
paZmordan,paZmor,پژمردن,پژمر
nemudan,namA,نمودن,نما
neveStan,nevis,نوشتن,نویس
neSastan,neSin,نشستن,نشین
koStan,koS,کشتن,کش
mAndan,mAn,ماندن,مان
Sekastan,Sekan,شکستن,شکن
xAndan,xAn,خواندن,خوان
nahAdan,nah,نهادن,نه
gozaStan,gozar,گذشتن,گذر
SenAxtan,SenAs,شناختن,شناس
xordan,xor,خوردن,خور
?andAxtan,?andAz,انداختن,انداز
Senidan,Senav,شنیدن,شنو
suxtan,suz,سوختن,سوز
bAftan,bAf,بافتن,باف
bastan,band,بستن,بند
farmudan,farmA,فرمودن,فرما
?oftAdan,?oft,افتادن,افت
bordan,bar,بردن,بر
paziroftan,pazir,پذیرفتن,پذیر
zistan,ziy,زیستن,زی
rixtan,riz,ریختن,ریز
navAxtan,navAz,نواختن,نواز
?istAdan,?ist,ایستادن,ایست
ferestAdan,ferest,فرستادن,فرست
peyvastan,peyvand,پیوستن,پیوند
sepordan,sepor,سپردن,سپر
negaristan,negar,نگریستن,نگر
?Amuxtan,?Amuz,آموختن,آموز
goSudan,goSA,گشودن,گشا
bAxtan,bAz,باختن,باز
Semordan,Semor,شمردن,شمر
feSordan,feSor,فشردن,فشر
gorixtan,goriz,گریختن,گریز
mordan,mir,مردن,میر
duxtan,duz,دوختن,دوز
?Afaridan,?Afarin,آفریدن,آفرین
kAStan,kAr,کاشتن,کار
sorudan,sorA,سرودن,سرا
?afkandan,?afkan,افکندن,افکن
foruxtan,foruS,فروختن,فروش
rAndan,rAn,راندن,ران
poxtan,paz,پختن,ریز
xAstan,xiz,خاستن,خیز
gomAStan,gomAr,گماشتن,گمار
Cidan,Cin,چیدن,چین
Amixtan,Amiz,آمیختن,آمیز
SekAftan,SekAf,شکافتن,شکاف
robudan,robA,ربودن,ربا
peymudan,peymA,پیمودن,پیما
Sostan,Su,شستن,شو
?engAStan,?engAr,انگاشتن,انگار
parAkandan,parAkan,پراکندن,پراکن
tAxtan,tAz,تاختن,تاز
zodudan,zodA,زدودن,زدا
gosixtan,gosastan,gosal,گسیختن,گسستن,گسل
?Azmudan,?AzmA,آزمودن,آزما
geristan,gery,گریستن,گری
sotudan,setA,ستودن,ستا
kandan,kan,کندن,کن
?anbAStan,?anbAr,انباشتن,انبار
Sekoftan,Sekof,شکفتن,شکف
?Aludan,?AlA,آلودن,آلا
?Avixtan,?Aviz,آویختن,آویز
negAStan,negAr,نگاشتن,نگار
gozidan,gozin,گزیدن,گزین
parvardan,parvar,پروردن,پرور
gostardan,gostar,گستردن,گستر
farsudan,farsA,فرسودن,فرسا
fariftan,farib,فریفتن,فریب
?afruxtan,?afruz,افروختن,افروز
?afsordan,?afsor,افسردن,افسر
?anduxtan,?anduz,اندوختن,اندوز
?afrAxtan,?afrAStan?afrAz,افراختن,افراشتن,افراز
?Azordan,?Azor,آزردن,آزر
gozArdan,gozAr,گزاردن,گزار
ridan,rin,ریدن,رین
?angixtan,?angiz,انگیختن,انگیز
godAxtan,godAz,گداختن,گداز
?ASoftam,?ASub,آشفتن,آشوب
?Asudan,?AsA,آسودن,آسا
pAludan,pAlA,پالودن,پالا
?Akandan,?Akan,آکندن,آکن
?afrAStan,?afrAz,افسردن,افسر